,items,count
0,rohu fish,2
1,strawberries  to garnish,9
2,corn flakes,9
3,red wine vinegar,16
4,bedki chillies,15
5,orange,15
6,"sweet ""dessert banana"" variety",8
7,cheddar cheese,15
8,soya sauce,4
9,vanilla,16
10,lecite,10
11,basmati rice,2
12,cajun spice,9
13,maida,11
14,onions  cut into slices,9
15,wheat flour,12
16,ghee,10
17,ripe mango  diced,11
18,kiwi,2
19,fresh sole fish,11
20,thyme,14
21,peppercorn  crushed,4
22,salted butter,8
23,dry sherry,2
24,candied red cherries  halved,15
25,nuscovado sugar,12
26,pistachio,13
27,cream,8
28,whole moong beans,14
29,bottle gourd  boiled and sun dried,10
30,lamb bones  preferably shank and shoulder,16
31,dark chocolate  melted,16
32,maida/ flour,11
33,cumin seeds  jeera,7
34,chilli pepper  sliced,4
35,n and spices,15
36,sesame seeds or cinnamon,2
37,egg  slightly beaten,7
38,coconut milk,7
39,butter  at room temperature,3
40,icing sugar,3
41,cardamom seeds,1
42,chicken,21
43, chicken,1
44,red bell pepper  cut into thin strips,6
45,sweet chilli sauce,13
46,green peas,14
47,candied peels and cherries,11
48,basil pesto  purchased,10
49,almond essence,15
50,carrot,14
51,summer squash  zucchini,4
52,rava/suji/semolina,14
53,feta cheese,15
54,fresh coriander,7
55,black olive,9
56,asafoetida,14
57,romaine lettuce,15
58,clarified butter,16
59,celery stalk,9
60,processed cheese,14
61,spring onion,1
62,boneless skinless chicken thigh  trimmed,12
63,mint leaf  crushed nuts,16
64,refined flour  maida,15
65,thyme dried,4
66,green pepper,15
67,butter biscuits  broken into pieces,16
68,wasabi mayo,8
69,mul yut  substitution honey,15
70,onion  diced,15
71,lemon grass,11
72,yellow zucchini,12
73,white fish  cut into cubes,15
74,cashew paste,4
75,bean sprouts,1
76,malai or cream,1
77,parsley sprigs,10
78,quinoa,3
79,potato,15
80,cider vinegar,5
81,refined flour  for rolling,4
82,sticky rice,10
83,avocado  ripened and diced,6
84,green pepper corn,5
85,tamarind pulp,3
86,almonds  badam  - coarsley crushed,9
87,fresh basil leaves,14
88,all purpose white flour,1
89,rosemary,9
90,parmigiano cheese,16
91,cumin seed,6
92,clove powder,3
93,winter carrots,8
94,apple cider vinegar,5
95,parsley sprig,12
96,fennel seeds powder,2
97,prawns  shelled and cleaned,6
98,lemon  for lemon juice,16
99,kewda to flavor,2
100,rose water  infused with 4-5 strands of saffron,12
101,rum,10
102,cake flour,6
103,spaghetti,2
104,fresh coconut  pieces,3
105,leeks,6
106,apple,14
107,tabasco,5
108,onion powder  optional,16
